run,tag,step,wall_time,value
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,30,1782974825.7865143,0.1082124412059784
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,31,1782974836.2387037,0.11932510882616043
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,32,1782974845.811324,0.11986742913722992
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,33,1782974856.2239242,0.11706133186817169
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,34,1782974865.6058872,0.11318621039390564
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,35,1782974876.0273767,0.1174982413649559
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,36,1782974885.6363878,0.11369619518518448
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,37,1782974895.9924808,0.11631834506988525
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,38,1782974905.781615,0.11073862016201019
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,39,1782974916.2013383,0.11506842076778412
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,40,1782974925.565909,0.12197096645832062
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,41,1782974936.2611842,0.104854516685009
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,42,1782974946.0329883,0.11243706941604614
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,43,1782974956.4420896,0.10971269011497498
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,44,1782974965.6500065,0.10908542573451996
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,45,1782974976.2595007,0.11683417856693268
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,46,1782974985.6397555,0.11575479805469513
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,47,1782974996.249871,0.11706938594579697
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,48,1782975005.3065536,0.11806761473417282
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,49,1782975015.853952,0.10904879122972488
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,50,1782975025.3557239,0.11798278987407684
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,51,1782975036.0036068,0.10973808914422989
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,52,1782975045.5419886,0.12201731652021408
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,53,1782975055.9780235,0.11575468629598618
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,54,1782975065.4283953,0.12021695077419281
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,55,1782975075.9039385,0.10910463333129883
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,56,1782975085.3378193,0.10953539609909058
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,57,1782975095.5873623,0.11783827841281891
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,58,1782975105.1426136,0.11480282992124557
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,59,1782975115.5742652,0.11808150261640549
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,60,1782975125.445337,0.1153707280755043
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,61,1782975136.0992641,0.11869063228368759
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,62,1782975145.793139,0.11496908962726593
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,63,1782975156.3540106,0.10778556019067764
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,64,1782975165.5688546,0.1150539368391037
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,65,1782975176.0846262,0.11137881129980087
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,66,1782975185.4624355,0.1127399355173111
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,67,1782975195.9095137,0.11361290514469147
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,68,1782975205.627213,0.11413639783859253
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,69,1782975216.1323783,0.11281903833150864
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,70,1782975225.787349,0.11232451349496841
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,71,1782975236.4239583,0.11342492699623108
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,72,1782975245.894445,0.11510880291461945
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,73,1782975256.5641305,0.11590505391359329
